Country,total_player_count,all_master_player_count,titled_female_player_count,rating_sum,rating_average,CM_count,FM_count,IM_count,GM_count,WCM_count,WFM_count,WIM_count,WGM_count,population
India,53768,805,224,1774151.0,2203.91,153,186,167,93,71,76,46,13,1417492000
Bangladesh,3040,72,22,151324.0,2101.72,22,18,5,5,10,8,4,0,169828911
Egypt,3877,98,23,212085.0,2164.13,10,27,31,7,9,3,7,4,107271260
Malaysia,3354,77,25,162421.0,2109.36,20,20,11,1,11,11,3,0,34231700
China,3692,248,94,575966.0,2322.44,15,40,60,54,10,24,27,18,1408280000
Indonesia,1529,156,55,340685.0,2183.88,10,60,28,5,7,32,13,1,284438782
Bahrain,134,12,4,23921.0,1993.42,3,5,0,0,4,0,0,0,1594654
Germany,35894,1750,176,3937583.0,2250.05,198,984,298,103,16,91,38,22,83491249
Iran,15887,206,41,456423.0,2215.65,34,87,27,17,12,18,9,2,85961000
Sweden,5656,232,15,525381.0,2264.57,37,106,50,25,0,6,8,0,10605098
Sri Lanka,6939,87,42,167653.0,1927.05,27,14,4,0,20,19,3,0,21763170
Norway,4911,205,16,462366.0,2255.44,47,87,35,20,2,4,7,3,5606944
Denmark,5418,174,17,392240.0,2254.25,23,76,43,16,1,11,4,0,6011488
Singapore,1229,90,26,193926.0,2154.73,22,24,12,6,11,12,2,1,6110200
Tanzania,75,6,2,12215.0,2035.83,3,1,0,0,2,0,0,0,68153004
Sudan,425,19,4,40113.0,2111.21,6,8,1,0,4,0,0,0,51662000
United States of America,11961,1039,217,2315183.0,2228.28,126,424,189,113,79,59,35,14,0
Netherlands,6946,438,41,998207.0,2279.01,59,205,97,43,2,13,15,4,18100436
Iraq,1258,83,23,172958.0,2083.83,30,22,8,0,15,6,2,0,46118793
Finland,1418,123,10,276597.0,2248.76,9,79,22,4,2,5,2,0,5650325
Maldives,141,10,5,18857.0,1885.7,3,2,0,0,4,1,0,0,515132
Morocco,745,51,12,109645.0,2149.9,17,12,9,1,2,7,3,0,36828330
Spain,39547,977,93,2180414.0,2231.74,212,468,151,61,10,57,15,3,49315949
Russia,43498,2590,594,5815208.0,2245.25,96,1252,485,184,35,399,100,39,146028325
France,36937,639,79,1438669.0,2251.44,90,289,132,59,7,36,18,8,66351959
Kenya,1559,39,20,70602.0,1810.31,15,4,0,0,11,9,0,0,53330978
Pakistan,520,20,6,41814.0,2090.7,7,5,2,0,6,0,0,0,241499431
United Arab Emirates,597,69,24,142143.0,2060.04,15,20,8,2,8,9,6,1,11294243
Australia,4466,291,63,607950.0,2089.18,98,89,32,10,20,26,13,3,27536874
Mauritius,72,12,3,23529.0,1960.75,7,2,0,0,3,0,0,0,1243741
Nigeria,931,55,16,115187.0,2094.31,14,17,8,0,7,7,2,0,223800000
Canada,3580,297,74,647106.0,2178.81,48,110,51,15,29,28,14,2,41651653
United Kingdom,5770,374,54,836561.0,2236.79,82,132,69,43,8,27,7,6,69281437
Ghana,150,16,4,30867.0,1929.19,10,1,1,0,3,1,0,0,33742380
Philippines,3290,131,27,291341.0,2223.98,5,50,35,14,3,12,11,1,114123600
Turkey,11608,337,73,731679.0,2171.15,101,108,40,17,40,23,6,2,85664944
Moldova,999,79,21,178876.0,2264.25,3,26,22,8,1,10,5,4,2749076
Jordan,1025,38,10,79875.0,2101.97,11,12,5,1,2,2,5,0,11734000
Switzerland,5671,189,23,428017.0,2264.64,11,102,43,13,2,10,5,3,9082848
Cuba,2735,343,96,761535.0,2220.22,13,152,58,26,3,66,17,8,9748007
Peru,5247,154,51,326945.0,2123.02,29,43,24,9,17,21,11,0,34350244
Ecuador,1953,85,36,177192.0,2084.61,12,23,15,1,10,18,4,2,18103660
Colombia,4692,330,77,686682.0,2080.85,84,122,38,11,28,25,20,2,53057212
